gene	cutpoint	cut_method	n_high	n_low	logrank_chi	logrank_p	logrank_p_adj
TXNRD1	11.52	optimal (maxstat)	143	79	8.006	0.00466186383096201	0.0545731472906104
ABCC3	10.529	optimal (maxstat)	66	156	7.902	0.004938036746500507	0.0545731472906104
G6PD	11.782	optimal (maxstat)	147	75	6.872	0.008757388621461693	0.0545731472906104
AKR1C3	10.901	optimal (maxstat)	76	146	6.547	0.01050903154498084	0.0545731472906104
GSTM3	8.128	optimal (maxstat)	158	64	6.331	0.011863727671871827	0.0545731472906104
SLC7A11	10.16	optimal (maxstat)	85	137	6.006	0.014255536887444631	0.05464622473520442
GCLC	11.344	optimal (maxstat)	100	122	4.998	0.02537431546917257	0.0782368274179455
GSTP1	15.972	optimal (maxstat)	111	111	4.821	0.02810846028947367	0.0782368274179455
ME1	10.2	optimal (maxstat)	151	71	4.645	0.03114873666342688	0.0782368274179455
NQO1	11.482	optimal (maxstat)	155	67	4.474	0.034419144464705065	0.0782368274179455
SRXN1	4.631	optimal (maxstat)	128	94	4.331	0.03741761311293046	0.0782368274179455
GPX2	12.198	optimal (maxstat)	62	160	4.154	0.04153124299239941	0.07960154906876554
ABCC1	13.044	optimal (maxstat)	57	165	3.353	0.0670883444421867	0.11869476324386877
PGD	12.911	optimal (maxstat)	122	100	3.215	0.07295561499571823	0.11890731672565807
AKR1C2	10.555	optimal (maxstat)	126	96	3.116	0.07754825003847265	0.11890731672565807
TKT	14.077	optimal (maxstat)	99	123	2.442	0.11813579109475847	0.1698201996987153
MGST1	7.329	optimal (maxstat)	114	108	2.212	0.13694933145397648	0.17712019605789617
GCLM	10.092	optimal (maxstat)	153	69	2.193	0.13861580561052744	0.17712019605789617
AKR1C1	10.573	optimal (maxstat)	100	122	1.711	0.1908007846476365	0.23096937088924419
NFE2L2	12.722	optimal (maxstat)	164	58	1.484	0.2231552667880501	0.25035274276827396
AKR1B10	13.278	optimal (maxstat)	82	140	1.45	0.2285829390492936	0.25035274276827396
PRDX1	13.704	optimal (maxstat)	94	128	1.175	0.2784532213568096	0.2911101859639373
TXN	14.548	optimal (maxstat)	69	153	0.487	0.4853685923293326	0.4853685923293326
