gene	adj_coef	adj_HR	adj_HR_lower_95	adj_HR_upper_95	adj_p_value	adj_C_index	adj_C_index_se	adj_p_adj
NQO1	0.14843332567277426	1.1600154519461352	1.010338076730867	1.3318669064793107	0.03521466078427384	0.6348415012698712	0.03528675045209937	0.5025323926827626
GCLM	0.1477148846853718	1.1591823486030655	0.9860923637000643	1.36265502784243	0.07341733091393947	0.6338067914589408	0.035579845277203793	0.5025323926827626
ABCC3	0.17458975975118118	1.1907576196959633	0.9800624636783587	1.4467483057583261	0.07887294952874462	0.6270341454237607	0.03603397359529644	0.5025323926827626
GSTM3	-0.09893735556818818	0.9057994495381118	0.8086539961369495	1.01461520836236	0.08739693785787177	0.6383218888157276	0.035955994646115326	0.5025323926827626
TXNRD1	0.1364851375476834	1.1462378417439025	0.9613632530821269	1.3666646666943907	0.12828812053181363	0.6231774997648387	0.03557868338363039	0.5901253544463426
GSTP1	0.1488938232669357	1.1605497592851266	0.9340577386110318	1.4419619774036714	0.17890437499463785	0.6331483397610761	0.036167142911017344	0.6248400488065404
AKR1C3	0.061763340527500994	1.0637105777534663	0.9698260259377793	1.1666836762093709	0.1901687105063384	0.6228012416517731	0.03596895558153716	0.6248400488065404
MGST1	0.04823113543270501	1.0494131838652603	0.9668855144382896	1.1389849305064852	0.2484431270044746	0.6281629197629574	0.03568453898028156	0.7036618941055005
SLC7A11	0.06512884823840427	1.0672965348033792	0.9494315010387713	1.1997936575276777	0.27534595856302196	0.6224249835387076	0.035826072975594654	0.7036618941055005
ME1	0.0764475663808037	1.0794455896142992	0.9096786787151612	1.28089490080553	0.38121788152371705	0.6224249835387076	0.03625275541879637	0.7105313700387931
G6PD	0.0832444343893442	1.086807429193795	0.9001904929366111	1.3121116001766076	0.38646837799104966	0.6230834352365723	0.03639193864299149	0.7105313700387931
NFE2L2	0.11135228630926043	1.1177886191278303	0.863243424786639	1.447391733520031	0.3983500512862334	0.6308907910826828	0.03647340563009068	0.7105313700387931
TKT	0.10803322991369504	1.1140847657119866	0.8582181298298265	1.446234729902109	0.41708657131898397	0.6291976295738877	0.036265862701570326	0.7105313700387931
GCLC	0.07145879506868162	1.0740738926485176	0.892743467643869	1.2922354166464138	0.44880315767578743	0.6265638227824287	0.03660255440881848	0.7105313700387931
PGD	0.0703374717288752	1.0728701835237073	0.8738638256345407	1.3171965664769094	0.5016274931523579	0.6217665318408429	0.03666745026089931	0.7105313700387931
AKR1C2	0.029175090711918494	1.0296048529405748	0.9435004048631337	1.1235672478090366	0.512625274461324	0.6266578873106952	0.0365443626649156	0.7105313700387931
GPX2	0.02691573046525511	1.0272812306044876	0.9454346778561394	1.1162132630307957	0.5251753604634557	0.6235537578779042	0.036518892095197965	0.7105313700387931
TXN	0.05849901509112872	1.0602439414504194	0.8606076355469886	1.3061901486242906	0.5825910352613634	0.6250587903301665	0.03683098640538094	0.7121448804803445
AKR1C1	0.023257238841117793	1.0235297973046138	0.9408683884617358	1.1134535486766746	0.5882935969185454	0.6238359514627034	0.036718661176976294	0.7121448804803445
SRXN1	0.08804209538547052	1.0920340906566501	0.6823866373998275	1.7475993663949176	0.7136260239734706	0.6238359514627034	0.03685619923673334	0.7513665418112768
PRDX1	0.0659991249743816	1.0682257824406585	0.748765406299156	1.5239837640349643	0.715823819823177	0.6241181450475026	0.03673225869316424	0.7513665418112768
AKR1B10	0.017526319327024392	1.0176808064722396	0.9251121355713141	1.1195120937662275	0.718698431297743	0.6264697582541623	0.03690356477104764	0.7513665418112768
ABCC1	0.0331497505706898	1.0337053256137783	0.8175041068573534	1.3070841984023673	0.7818635010908176	0.6248706612736337	0.03654275840508265	0.7818635010908176
