gene	coef	HR	HR_lower_95	HR_upper_95	se_coef	p_value	C_index	C_index_se	p_adj
TXNRD1	0.19022380441190878	1.2095202633392632	1.0271574564492028	1.4242599888098355	0.08338345480495339	0.022529900107050093	0.5551242236024845	0.030826689955499885	0.39872897553103437
NQO1	0.1412165131912183	1.151673973599895	1.0042446691400577	1.3207468082485694	0.06988946140245891	0.04332435020929816	0.5338791643139469	0.029655330693512855	0.39872897553103437
GSTM3	-0.09878314282976275	0.9059391461229088	0.8125800189740673	1.0100245112033672	0.05548966346550638	0.07504192661033529	0.5768633540372671	0.02995335406035148	0.39872897553103437
ABCC3	0.14868618073548018	1.1603088048122925	0.9801842774555848	1.3735340930174598	0.08607345279845764	0.08408980747723582	0.5539243365330322	0.030568523353383753	0.39872897553103437
GCLM	0.13401244971293727	1.1434070546456367	0.9808802406469797	1.3328637263108434	0.07822457792208508	0.086680212071964	0.5371964991530209	0.02863784757547538	0.39872897553103437
MGST1	0.06129953553017156	1.0632173378641967	0.9856369945877849	1.1469040972917222	0.038657183469690944	0.11280244945087273	0.5357142857142857	0.030666116757509725	0.4007817947159334
AKR1C3	0.0695123312887017	1.0719852800832406	0.9815887539516807	1.1707066081277775	0.04494734315992124	0.1219770679570232	0.5263975155279503	0.02948274936778926	0.4007817947159334
SRXN1	0.2963515264406418	1.3449428567192196	0.8796411874229632	2.056374023525896	0.21663292081572386	0.17131541277095352	0.5259034443817052	0.029906690196184308	0.4261763452494118
TKT	0.164117712745396	1.1783530140975769	0.9262035834651209	1.4991475423125837	0.12284864956218182	0.18157078030491966	0.5392433653303219	0.029694484515204834	0.4261763452494118
SLC7A11	0.07235541002005652	1.0750373552224768	0.9658913187005383	1.1965169297499905	0.054623130059869164	0.18529406315191818	0.5328910220214569	0.030539719132472574	0.4261763452494118
GCLC	0.11002784958558794	1.1163091587734308	0.9347671044738295	1.3331086770141396	0.09055560093469589	0.22435432197030408	0.5237859966120836	0.03137941964387225	0.46910449139245397
ME1	0.07821989287903675	1.081360415983702	0.9349061917833827	1.2507568775706437	0.07425084256506606	0.2921326838256125	0.5065640880858272	0.03127393133581724	0.5255151509455586
AKR1C2	0.04343218275101548	1.0443891643103127	0.9611460613891343	1.1348418001654665	0.04237887839198594	0.30543186270739275	0.5153162055335969	0.030310333162456852	0.5255151509455586
PGD	0.09584776547812907	1.1005915032187676	0.9075727975343094	1.3346606027066992	0.09838408531528008	0.32994720588031856	0.49604743083003955	0.030815825671665395	0.5255151509455586
G6PD	0.08755291010759932	1.091500014298364	0.9109114826803582	1.3078902877672747	0.09227846173823516	0.34272727235579903	0.5184923771880294	0.029539852265585	0.5255151509455586
ABCC1	0.07726725994708115	1.0803307669567765	0.8658082463680299	1.3480058326186357	0.11294038112340309	0.493885493070068	0.4834839073969509	0.03200879255634164	0.7063582934575116
NFE2L2	0.07760468466533205	1.0806953587691202	0.8509422537051039	1.3724814502745997	0.12194902367981583	0.5245353726800712	0.47579051383399207	0.030653566248533617	0.7063582934575116
GPX2	0.02306208753523246	1.0233300736168602	0.948295399267701	1.1043019299443695	0.038853423225104024	0.5528021427058787	0.4888481084133258	0.032360858555362235	0.7063582934575116
GSTP1	0.053308997254692146	1.054755511328253	0.8650155107472095	1.2861147284125891	0.10118391946502645	0.5982960469329138	0.5494776962168266	0.029141386443492446	0.7239092136998097
AKR1C1	0.020436078631248876	1.0206463250478908	0.9393323312935046	1.108999324444916	0.04235895212090059	0.6294862727824432	0.4860248447204969	0.03028208068399329	0.7239092136998097
AKR1B10	0.01074851239205048	1.010806485172242	0.931550804373967	1.0968051830011547	0.041660491250428214	0.7964049500546273	0.4784726143421796	0.031378219040557445	0.8417261762031506
PRDX1	0.03540315095851164	1.036037304049186	0.7345491422744601	1.4612681897060136	0.1754631888779492	0.8400967881632468	0.5004940711462451	0.029180130858017937	0.8417261762031506
TXN	0.01940481733876036	1.0195943145416397	0.8427727417716284	1.2335147006063658	0.09717666185700194	0.8417261762031506	0.5155985319028797	0.029949310452091465	0.8417261762031506
