gene	KM_cutpoint	KM_cut_method	n_high	n_low	logrank_chi	KM_logrank_p	KM_logrank_fdr	Uni_HR	Uni_HR_lower	Uni_HR_upper	Uni_p	Uni_fdr	Uni_C_index	Multi_adj_HR	Multi_HR_lower	Multi_HR_upper	Multi_p	Multi_fdr	Multi_C_index	log2FoldChange	padj	regulation	Level	Independent_Prognostic
NRF2_Pathway_Optimal	-0.225	optimal (maxstat)	124	98	4.485	0.03419397389870671	0.03419397389870671	1.5616350212868746	1.0304565488734185	2.3666247183113662	0.03560515946762651	NA	0.5543478260869565	1.7099542250415751	1.045922818625246	2.7955633051210658	0.03243676403672542	NA	0.6404853729658546	NA	NA	NA	Level 1: Pathway	Independent Adverse (p = 0.019)
NRF2_Pathway_Median	-0.122	median split	110	112	2.359	0.12453374583745258	0.12453374583745258	1.3700168928187486	0.9155344538027286	2.0501099426818143	0.12580546872603815	NA	0.5265386787125917	1.3925715844375612	0.8685841842740634	2.232662824045906	0.1691398213222115	NA	0.6279277584422914	NA	NA	NA	Level 1: Pathway	Non-significant (p = 0.141)
NRF2_Pathway_Continuous	NA	continuous	NA	NA	NA	NA	NA	1.457019098126844	0.8364567052611606	2.537973141889685	0.18375483918718993	NA	0.5363495200451722	1.457019098126844	0.8364567052611606	2.537973141889685	0.18375483918718993	NA	0.6241181450475026	NA	NA	NA	Level 1: Pathway	Non-significant (p = 0.142)
NQO1	11.482	optimal (maxstat)	155	67	4.474	0.034419144464705065	0.0782368274179455	1.151673973599895	1.0042446691400577	1.3207468082485694	0.04332435020929816	0.39872897553103437	0.5338791643139469	1.1600154519461352	1.010338076730867	1.3318669064793107	0.03521466078427384	0.5025323926827626	0.6348415012698712	1.70343860332322	4.51770472012446e-28	Up	Level 2: Canonical DEG	Independent Adverse (Risk)
GCLM	10.092	optimal (maxstat)	153	69	2.193	0.13861580561052744	0.17712019605789617	1.1434070546456367	0.9808802406469797	1.3328637263108434	0.086680212071964	0.39872897553103437	0.5371964991530209	1.1591823486030655	0.9860923637000643	1.36265502784243	0.07341733091393947	0.5025323926827626	0.6338067914589408	1.1249225660745	1.10583925473939e-10	Up	Level 2: Canonical DEG	Non-significant
ABCC3	10.529	optimal (maxstat)	66	156	7.902	0.004938036746500507	0.0545731472906104	1.1603088048122925	0.9801842774555848	1.3735340930174598	0.08408980747723582	0.39872897553103437	0.5539243365330322	1.1907576196959633	0.9800624636783587	1.4467483057583261	0.07887294952874462	0.5025323926827626	0.6270341454237607	0.845383646568803	1.67337417735979e-7	NS	Level 2: Canonical DEG	Non-significant
GSTM3	8.128	optimal (maxstat)	158	64	6.331	0.011863727671871827	0.0545731472906104	0.9059391461229088	0.8125800189740673	1.0100245112033672	0.07504192661033529	0.39872897553103437	0.5768633540372671	0.9057994495381118	0.8086539961369495	1.01461520836236	0.08739693785787177	0.5025323926827626	0.6383218888157276	2.3857325840754	8.30142319104672e-22	Up	Level 2: Canonical DEG	Non-significant
TXNRD1	11.52	optimal (maxstat)	143	79	8.006	0.00466186383096201	0.0545731472906104	1.2095202633392632	1.0271574564492028	1.4242599888098355	0.022529900107050093	0.39872897553103437	0.5551242236024845	1.1462378417439025	0.9613632530821269	1.3666646666943907	0.12828812053181363	0.5901253544463426	0.6231774997648387	1.28917612209869	3.6365489451598297e-19	Up	Level 2: Canonical DEG	Univariate Significant Only
GSTP1	15.972	optimal (maxstat)	111	111	4.821	0.02810846028947367	0.0782368274179455	1.054755511328253	0.8650155107472095	1.2861147284125891	0.5982960469329138	0.7239092136998097	0.5494776962168266	1.1605497592851266	0.9340577386110318	1.4419619774036714	0.17890437499463785	0.6248400488065404	0.6331483397610761	0.685154026673228	7.51972897725286e-7	NS	Level 2: Canonical DEG	Non-significant
AKR1C3	10.901	optimal (maxstat)	76	146	6.547	0.01050903154498084	0.0545731472906104	1.0719852800832406	0.9815887539516807	1.1707066081277775	0.1219770679570232	0.4007817947159334	0.5263975155279503	1.0637105777534663	0.9698260259377793	1.1666836762093709	0.1901687105063384	0.6248400488065404	0.6228012416517731	3.3965566364436	1.86601445410064e-46	Up	Level 2: Canonical DEG	Non-significant
MGST1	7.329	optimal (maxstat)	114	108	2.212	0.13694933145397648	0.17712019605789617	1.0632173378641967	0.9856369945877849	1.1469040972917222	0.11280244945087273	0.4007817947159334	0.5357142857142857	1.0494131838652603	0.9668855144382896	1.1389849305064852	0.2484431270044746	0.7036618941055005	0.6281629197629574	1.31822613682255	2.8293236887161e-4	Up	Level 2: Canonical DEG	Non-significant
SLC7A11	10.16	optimal (maxstat)	85	137	6.006	0.014255536887444631	0.05464622473520442	1.0750373552224768	0.9658913187005383	1.1965169297499905	0.18529406315191818	0.4261763452494118	0.5328910220214569	1.0672965348033792	0.9494315010387713	1.1997936575276777	0.27534595856302196	0.7036618941055005	0.6224249835387076	2.65370606247223	1.87402529008545e-39	Up	Level 2: Canonical DEG	Non-significant
ME1	10.2	optimal (maxstat)	151	71	4.645	0.03114873666342688	0.0782368274179455	1.081360415983702	0.9349061917833827	1.2507568775706437	0.2921326838256125	0.5255151509455586	0.5065640880858272	1.0794455896142992	0.9096786787151612	1.28089490080553	0.38121788152371705	0.7105313700387931	0.6224249835387076	1.57475480560525	1.1577902152668598e-25	Up	Level 2: Canonical DEG	Non-significant
G6PD	11.782	optimal (maxstat)	147	75	6.872	0.008757388621461693	0.0545731472906104	1.091500014298364	0.9109114826803582	1.3078902877672747	0.34272727235579903	0.5255151509455586	0.5184923771880294	1.086807429193795	0.9001904929366111	1.3121116001766076	0.38646837799104966	0.7105313700387931	0.6230834352365723	1.5022394641181	5.14248668451103e-34	Up	Level 2: Canonical DEG	Non-significant
NFE2L2	12.722	optimal (maxstat)	164	58	1.484	0.2231552667880501	0.25035274276827396	1.0806953587691202	0.8509422537051039	1.3724814502745997	0.5245353726800712	0.7063582934575116	0.47579051383399207	1.1177886191278303	0.863243424786639	1.447391733520031	0.3983500512862334	0.7105313700387931	0.6308907910826828	0.754686170746249	1.36784299152266e-13	NS	Level 2: Canonical DEG	Non-significant
TKT	14.077	optimal (maxstat)	99	123	2.442	0.11813579109475847	0.1698201996987153	1.1783530140975769	0.9262035834651209	1.4991475423125837	0.18157078030491966	0.4261763452494118	0.5392433653303219	1.1140847657119866	0.8582181298298265	1.446234729902109	0.41708657131898397	0.7105313700387931	0.6291976295738877	0.842312784176366	7.644990791539131e-17	NS	Level 2: Canonical DEG	Non-significant
GCLC	11.344	optimal (maxstat)	100	122	4.998	0.02537431546917257	0.0782368274179455	1.1163091587734308	0.9347671044738295	1.3331086770141396	0.22435432197030408	0.46910449139245397	0.5237859966120836	1.0740738926485176	0.892743467643869	1.2922354166464138	0.44880315767578743	0.7105313700387931	0.6265638227824287	1.22813536863467	2.03846277709234e-18	Up	Level 2: Canonical DEG	Non-significant
